First Loan Local Disbursement Month,Months Since First Loan Disbursed,Count First Loans,Count Borrowers,Count Loans,Total Amount,Total Interest Assessed,Total Rollover Charged,Total Rollover Reversed,Default Rate Amount 7D,Default Rate Amount 30D,Default Rate Amount 51D,Ftbs,Borrower Retention,Loans Per Borrower,Loan Size,Interest Rate,Total Revenue Of Originations,Loans Per Original,Originations Per Original,Revenue Per Original
2021-01,3,0,3494,4078,37805000,5240160,455094,0,0.1332199201,0.1112182445,0.1052619517,10314,0.3387628466,1.167143675,9270.475723,0.1386102367,0.1506481682,0.3953849137,3665.406244,552.1867365
2021-01,10,0,1566,1787,32465000,4667730,342082,0,0.1169302702,0.08145098725,0.07599649229,10314,0.1518324607,1.141123883,18167.31953,0.1437772986,0.1543142461,0.1732596471,3147.66337,485.7293
2021-01,7,0,2088,2420,36769000,5051170,368318,0,0.1104180991,0.07748488166,0.07190641675,10314,0.202443281,1.159003831,15193.80165,0.1373757785,0.1473928581,0.2346325383,3564.960248,525.44968
2021-01,13,0,643,682,12698000,1817310,0,0,,,,10314,0.06234244716,1.060653188,18618.76833,0.1431178138,0.1431178138,0.06612371534,1231.142137,176.1983711
2021-01,2,0,4436,5384,40592000,5560420,593992,0,0.1618033763,0.1326874884,0.125802575,10314,0.4300950165,1.213706041,7539.375929,0.1369831494,0.1516163776,0.5220089199,3935.621485,596.7046733
2021-01,11,0,1389,1584,29579000,4456800,241696,0,0.1051867281,0.07089514132,0.05881899906,10314,0.1346713205,1.140388769,18673.61111,0.150674465,0.1588456675,0.1535776614,2867.849525,455.5454722
2021-01,4,0,3044,3562,38703000,5357470,423476,0,0.1202638223,0.1002346105,0.09479084882,10314,0.2951328292,1.170170828,10865.52499,0.1384251867,0.1493668708,0.345355827,3752.472368,560.4950553
2021-01,12,0,1278,1422,26863000,3878650,51386,0,0.09234842034,0.1063649761,,10314,0.1239092496,1.112676056,18890.99859,0.1443863306,0.146299222,0.1378708551,2604.518131,381.0389761
2021-01,8,0,1895,2120,34097000,4693110,339777,0,0.1111466354,0.08824211529,0.07977148005,10314,0.1837308513,1.118733509,16083.49057,0.1376399683,0.1476049799,0.20554586,3305.8949,487.9665503
2021-02,0,9331,9331,14950,50418000,6739290,776812,0,0.1698898424,0.1415783874,0.1342996604,10314,0.9046926508,1.602186261,3372.441472,0.1336683327,0.1490757666,1.449486135,4888.307155,728.7281365
2021-02,2,0,3728,4444,34882000,4836720,504590,0,0.1596503051,0.1365078233,0.1295842986,10314,0.3614504557,1.192060086,7849.234923,0.1386594805,0.1531251075,0.4308706612,3382.005042,517.8698856
2021-02,11,0,1194,1341,25012000,3704830,46289,0,0.08275568348,0.086280044,,10314,0.1157649796,1.123115578,18651.75242,0.1481221014,0.1499727731,0.130017452,2425.053326,363.6919721
2021-02,1,0,5004,6525,39642000,5406950,613134,0,0.1708548328,0.1427171965,0.1364716896,10314,0.4851657941,1.303956835,6075.402299,0.1363944806,0.1518612583,0.6326352531,3843.513671,583.6808222
2021-02,8,0,1673,1918,31267000,4313410,352118,0,0.1247991215,0.09441539738,0.08937314461,10314,0.1622067093,1.146443515,16301.87696,0.137954073,0.1492157226,0.1859608299,3031.510568,452.3490401
2021-02,13,0,2,2,47000,9840,0,0,,,,10314,0.0001939111887,1,23500,0.2093617021,0.2093617021,0.0001939111887,4.556912934,0.9540430483
2021-02,6,0,2034,2344,33123000,4620360,320267,0,0.1068336208,0.08074230359,0.07673992764,10314,0.1972076789,1.152409046,14130.9727,0.1394909881,0.1491600097,0.2272639131,3211.460151,479.0214272
2021-02,10,0,1274,1429,26360000,3975690,228937,0,0.1071300603,0.07481476857,0.05133191229,10314,0.1235214272,1.12166405,18446.46606,0.1508228376,0.1595078528,0.1385495443,2555.749467,407.6621098
2021-02,12,0,619,648,12354000,1833270,0,0,,,,10314,0.0600155129,1.046849758,19064.81481,0.1483948519,0.1483948519,0.06282722513,1197.789412,177.7457824
2021-02,3,0,3100,3681,34823000,4812110,400478,1333,0.1258454674,0.1061749435,0.1009282388,10314,0.3005623424,1.187419355,9460.201032,0.138187692,0.1496498004,0.3568935428,3376.284662,505.2603258
2021-02,9,0,1475,1683,28778000,4123540,269868,0,0.1036890196,0.07642003742,0.06917158404,10314,0.1430095016,1.141016949,17099.22757,0.1432879283,0.1526655084,0.1631762653,2790.188094,425.9654838
2021-02,5,0,2271,2604,33427000,4622690,391779,0,0.1287878545,0.09666802796,0.09011450629,10314,0.2201861547,1.14663144,12836.78955,0.1382920992,0.1500125348,0.2524723677,3240.934652,486.1808222
2021-02,7,0,1821,2043,31164000,4307950,345493,0,0.1221520329,0.1018743649,0.09703357842,10314,0.1765561373,1.121911038,15254.03818,0.1382348222,0.1493211077,0.1980802792,3021.524142,451.1773318
2021-02,4,0,2589,2990,33393000,4613900,370717,0,0.1225696288,0.1028350979,0.0960244874,10314,0.2510180337,1.154886056,11168.22742,0.1381696763,0.1492713143,0.2898972271,3237.638162,483.2865038
2021-03,0,10225,10225,17501,56525000,7584460,946180,276,0.1859487764,0.1603828922,0.151926686,10314,0.9913709521,1.711589242,3229.815439,0.1341788589,0.1509131181,1.696819857,5480.41497,827.0665115
2021-03,7,0,1920,2212,33122000,4637440,359126,0,0.1202165213,0.09776555424,0.09057104705,10314,0.1861547411,1.152083333,14973.77939,0.1400108689,0.1508533905,0.2144657747,3211.363196,484.4450262
2021-03,5,0,2401,2814,34706000,4908860,377927,0,0.1199269754,0.09820295845,0.09355854594,10314,0.232790382,1.172011662,12333.33333,0.1414412494,0.1523306345,0.2728330425,3364.940857,512.5835757
2021-03,2,0,4136,5053,39063000,5391510,516661,460,0.1462172377,0.1265926564,0.1202490369,10314,0.4010083382,1.221711799,7730.655056,0.1380208893,0.1512354658,0.4899166182,3787.376382,572.7856312
2021-03,10,0,1279,1434,24700000,3780970,66532,0,0.1377701885,0.04650287225,,10314,0.1240062052,1.121188428,17224.54672,0.1530757085,0.1557693117,0.1390343223,2394.80318,373.0368431
2021-03,4,0,2829,3289,35726000,5016160,467848,0,0.1445957705,0.1145296403,0.1081934482,10314,0.2742873764,1.162601626,10862.26817,0.1404064267,0.1535018754,0.3188869498,3463.835563,531.705255
2021-03,9,0,1392,1557,26481000,4182310,239018,0,0.114685718,0.08971831272,0.1259824212,10314,0.1349621873,1.118534483,17007.70713,0.1579362562,0.1669622748,0.1509598604,2567.481094,428.672484
2021-03,12,0,2,2,13000,2420,0,0,,,,10314,0.0001939111887,1,6500,0.1861538462,0.1861538462,0.0001939111887,1.260422726,0.2346325383
2021-03,3,0,3324,3872,35869000,4972560,475178,0,0.146887025,0.1225157465,0.1163780161,10314,0.3222803956,1.164861613,9263.688017,0.1386311299,0.1518787254,0.3754120613,3477.700213,528.1886756
2021-03,11,0,641,670,11855000,1810200,0,0,,,,10314,0.06214853597,1.04524181,17694.02985,0.1526950654,0.1526950654,0.06496024821,1149.408571,175.5090169
2021-03,8,0,1710,1954,31597000,4704390,390475,0,0.1371502991,0.1093304842,0.1059753963,10314,0.1657940663,1.142690058,16170.41965,0.1488872361,0.1612452132,0.1894512313,3063.505914,493.9756641
2021-03,1,0,5046,6352,39134000,5329150,550676,0,0.1569012451,0.1367127735,0.1317769123,10314,0.489237929,1.258818866,6160.894207,0.1361769817,0.1502485307,0.6158619352,3794.260229,570.0820244
2021-03,6,0,2133,2378,32601000,4555630,355889,0,0.1214079179,0.1002648442,0.09529560993,10314,0.2068062827,1.114861697,13709.41968,0.1397389651,0.1506554707,0.2305604033,3160.849331,476.1992437
2021-04,0,9497,9497,15978,54622000,7298990,897059,0,0.1830076853,0.1622488906,0.1548509562,10314,0.9207872794,1.682426029,3418.575541,0.133627293,0.1500503277,1.549156486,5295.908474,794.652802
2021-04,3,0,3155,3751,35348000,4941810,486685,0,0.151858295,0.1235373222,0.1158649364,10314,0.3058949001,1.188906498,9423.620368,0.1398045151,0.1535729037,0.3636804344,3427.186349,526.3229591
2021-04,8,0,1503,1710,27236000,4282900,240316,0,0.1110568536,0.0975542774,0.1055291264,10314,0.1457242583,1.137724551,15927.48538,0.1572514319,0.1660749009,0.1657940663,2640.682567,438.5510956
2021-04,5,0,2300,2635,32833000,4657840,339168,0,0.1161986768,0.09693926049,0.09255797673,10314,0.222997867,1.145652174,12460.34156,0.1418645875,0.1521946822,0.2554779911,3183.343029,484.4878806
2021-04,9,0,1380,1555,26159000,3950260,43174,0,0.08303166029,0.1618104656,,10314,0.1337987202,1.126811594,16822.50804,0.1510095952,0.1526600405,0.1507659492,2536.261392,387.1857669
2021-04,7,0,1802,2023,30594000,4609790,364978,0,0.1299375153,0.1031168838,0.09897871073,10314,0.174713981,1.122641509,15123.08453,0.1506762764,0.1626060012,0.1961411673,2966.259453,482.3315881
2021-04,6,0,2047,2366,32740000,4580810,372891,0,0.1270174602,0.1040007895,0.09835567412,10314,0.1984681016,1.155837811,13837.70076,0.1399147831,0.1513042456,0.2293969362,3174.326159,480.2890246
2021-04,10,0,612,635,10912000,1666200,0,0,,,,10314,0.05933682373,1.037581699,17184.25197,0.1526942815,0.1526942815,0.0615668024,1057.979445,161.5474113
2021-4,4,0,2631,3088,34011000,4819430,395425,0,0.1270442877,0.1049226588,0.09856951709,10314,0.2550901687,1.173698214,11013.92487,0.1417020964,0.153328482,0.2993988753,3297.556719,505.6093659
2021-4,11,0,1,1,30000,4500,0,0,,,,10314,0.00009695559434,1,30000,0.15,0.15,0.00009695559434,2.90866783,0.4363001745
2021-4,1,0,4950,6446,40823000,5569760,557039,710,0.1514324576,0.1332471519,0.1275963716,10314,0.479930192,1.302222222,6333.074775,0.1364368126,0.1500646449,0.6249757611,3958.018228,593.9586
2021-04,2,0,3792,4499,35958000,4951300,510403,1440,0.1563677717,0.1335501609,0.1263346335,10314,0.3676556137,1.186445148,7992.442765,0.1376967573,0.1518511319,0.4362032189,3486.329261,529.4030444
2021-5,0,10314,10314,17891,62218000,8343390,948369,1361,0.1697330567,0.1517733545,0.1454763538,10314,1,1.734632538,3477.614443,0.134099296,0.1493201003,1.734632538,6032.383169,900.7560597
2021-5,7,0,1716,1955,29363000,4665430,278628,0,0.1225953002,0.09795048639,0.07126888412,10314,0.1663757999,1.139277389,15019.43734,0.1588880564,0.1683771413,0.1895481869,2846.907117,479.3540818
2021-5,2,0,4169,4962,40334000,5625880,606033,0,0.1669915632,0.1451553307,0.1374134299,10314,0.4042078728,1.19021348,8128.577187,0.1394823226,0.1545076858,0.4810936591,3910.606942,604.2188288
2021-5,4,0,2719,3109,35195000,5018810,468561,0,0.1477859645,0.1245398183,0.1178767084,10314,0.263622261,1.143435086,11320.36024,0.1426000852,0.1559133684,0.3014349428,3412.352143,532.0313167
2021-5,8,0,1541,1714,27472000,4298380,43820,0,0.08233334246,,,10314,0.1494085709,1.112264763,16028.00467,0.1564640361,0.1580591147,0.1661818887,2663.564088,421.0005817
